"Id","X1","X2","CLASS","MIN","INT","MAJ","Actual class safety"
"316.791999,203.708602,MIN","316.791999","203.708602","MIN","6","6","13","6"
"386.791999,79.264158,MIN","386.791999","79.264158","MIN","21","19","6","21"
"211.791999,185.930825,MIN","211.791999","185.930825","MIN","24","17","5","24"
"281.791999,73.338232,MIN","281.791999","73.338232","MIN","21","19","6","21"
"264.291999,215.560454,MIN","264.291999","215.560454","MIN","23","10","6","23"
"229.291999,91.11601,MIN","229.291999","91.11601","MIN","6","6","13","6"
"369.291999,197.782676,MIN","369.291999","197.782676","MIN","21","19","6","21"
"169.682624,136.548109,MIN","169.682624","136.548109","MIN","28","22","3","28"
"309.682624,77.288849,MIN","309.682624","77.288849","MIN","21","19","6","21"
"414.682624,95.066627,MIN","414.682624","95.066627","MIN","17","14","8","17"
"257.182624,71.362923,MIN","257.182624","71.362923","MIN","13","9","10","13"
"397.182624,178.02959,MIN","397.182624","178.02959","MIN","7","13","12","7"
"292.182624,213.585146,MIN","292.182624","213.585146","MIN","16","7","9","16"
"432.182624,160.251812,MIN","432.182624","160.251812","MIN","14","16","9","14"
"217.807624,75.313541,MIN","217.807624","75.313541","MIN","10","11","11","10"
"427.807624,110.869096,MIN","427.807624","110.869096","MIN","16","7","9","16"
"384.057624,199.757985,MIN","384.057624","199.757985","MIN","21","19","6","21"
"349.057624,69.387615,MIN","349.057624","69.387615","MIN","28","22","3","28"
"419.057624,122.720948,MIN","419.057624","122.720948","MIN","6","6","13","6"
"191.557624,104.94317,MIN","191.557624","104.94317","MIN","21","19","6","21"
"331.557624,211.609837,MIN","331.557624","211.609837","MIN","17","14","8","17"
"401.557624,87.165392,MIN","401.557624","87.165392","MIN","21","19","6","21"
"226.557624,193.832059,MIN","226.557624","193.832059","MIN","14","16","9","14"
"296.557624,60.827944,MIN","296.557624","60.827944","MIN","21","19","6","21"
"233.120124,203.050166,MIN","233.120124","203.050166","MIN","21","19","6","21"
"180.620124,179.346462,MIN","180.620124","179.346462","MIN","28","22","3","28"
"425.620124,143.790907,MIN","425.620124","143.790907","MIN","13","9","10","13"
"329.370124,64.778561,MIN","329.370124","64.778561","MIN","21","19","6","21"
"364.370124,207.000783,MIN","364.370124","207.000783","MIN","28","22","3","28"
"237.495124,76.630413,MIN","237.495124","76.630413","MIN","13","9","10","13"
"412.495124,165.519302,MIN","412.495124","165.519302","MIN","7","13","12","7"
"184.995124,94.408191,MIN","184.995124","94.408191","MIN","28","22","3","28"
"324.995124,201.074857,MIN","324.995124","201.074857","MIN","10","11","11","10"
"176.245124,159.593376,MIN","176.245124","159.593376","MIN","28","22","3","28"
"246.245124,195.148932,MIN","246.245124","195.148932","MIN","17","14","8","17"
"263.745124,80.58103,MIN","263.745124","80.58103","MIN","10","11","11","10"
"403.745124,187.247697,MIN","403.745124","187.247697","MIN","14","16","9","14"
"368.745124,74.655104,MIN","368.745124","74.655104","MIN","21","19","6","21"
"302.026374,216.877327,MIN","302.026374","216.877327","MIN","16","7","9","16"
"278.729195,155.620573,MIN","278.729195","155.620573","MIN","3","8","14","3"
"323.729195,142.28724,MIN","323.729195","142.28724","MIN","0","10","15","0"
"263.729195,84.509462,MIN","263.729195","84.509462","MIN","10","11","11","10"
"383.729195,164.509462,MIN","383.729195","164.509462","MIN","7","13","12","7"
"233.729195,124.509462,MIN","233.729195","124.509462","MIN","0","10","15","0"
"353.729195,111.176129,MIN","353.729195","111.176129","MIN","3","8","14","3"
"293.729195,191.176129,MIN","293.729195","191.176129","MIN","13","9","10","13"
"413.729195,151.176129,MIN","413.729195","151.176129","MIN","10","11","11","10"
"304.979195,177.842795,MIN","304.979195","177.842795","MIN","6","6","13","6"
"244.979195,137.842795,MIN","244.979195","137.842795","MIN","3","8","14","3"
"214.979195,163.02798,MIN","214.979195","163.02798","MIN","6","6","13","6"
