"Id","X1","X2","CLASS","MIN","INT","MAJ","Actual class safety"
"316.791999,203.708602,MIN","316.791999","203.708602","MIN","9","4","12","9"
"386.791999,79.264158,MIN","386.791999","79.264158","MIN","21","19","6","21"
"211.791999,185.930825,MIN","211.791999","185.930825","MIN","6","6","13","6"
"281.791999,73.338232,MIN","281.791999","73.338232","MIN","17","14","8","17"
"264.291999,215.560454,MIN","264.291999","215.560454","MIN","19","5","8","19"
"229.291999,91.11601,MIN","229.291999","91.11601","MIN","6","6","13","6"
"369.291999,197.782676,MIN","369.291999","197.782676","MIN","14","16","9","14"
"169.682624,136.548109,MIN","169.682624","136.548109","MIN","28","22","3","28"
"309.682624,77.288849,MIN","309.682624","77.288849","MIN","21","19","6","21"
"414.682624,95.066627,MIN","414.682624","95.066627","MIN","13","9","10","13"
"257.182624,71.362923,MIN","257.182624","71.362923","MIN","16","7","9","16"
"397.182624,178.02959,MIN","397.182624","178.02959","MIN","0","10","15","0"
"292.182624,213.585146,MIN","292.182624","213.585146","MIN","16","7","9","16"
"432.182624,160.251812,MIN","432.182624","160.251812","MIN","7","13","12","7"
"217.807624,75.313541,MIN","217.807624","75.313541","MIN","13","9","10","13"
"427.807624,110.869096,MIN","427.807624","110.869096","MIN","9","4","12","9"
"384.057624,199.757985,MIN","384.057624","199.757985","MIN","7","13","12","7"
"349.057624,69.387615,MIN","349.057624","69.387615","MIN","28","22","3","28"
"419.057624,122.720948,MIN","419.057624","122.720948","MIN","6","6","13","6"
"191.557624,104.94317,MIN","191.557624","104.94317","MIN","21","19","6","21"
"331.557624,211.609837,MIN","331.557624","211.609837","MIN","10","11","11","10"
"401.557624,87.165392,MIN","401.557624","87.165392","MIN","17","14","8","17"
"226.557624,193.832059,MIN","226.557624","193.832059","MIN","0","10","15","0"
"296.557624,60.827944,MIN","296.557624","60.827944","MIN","21","19","6","21"
"233.120124,203.050166,MIN","233.120124","203.050166","MIN","7","13","12","7"
"180.620124,179.346462,MIN","180.620124","179.346462","MIN","24","17","5","24"
"425.620124,143.790907,MIN","425.620124","143.790907","MIN","6","6","13","6"
"329.370124,64.778561,MIN","329.370124","64.778561","MIN","21","19","6","21"
"364.370124,207.000783,MIN","364.370124","207.000783","MIN","21","19","6","21"
"237.495124,76.630413,MIN","237.495124","76.630413","MIN","16","7","9","16"
"412.495124,165.519302,MIN","412.495124","165.519302","MIN","0","10","15","0"
"184.995124,94.408191,MIN","184.995124","94.408191","MIN","28","22","3","28"
"324.995124,201.074857,MIN","324.995124","201.074857","MIN","6","6","13","6"
"176.245124,159.593376,MIN","176.245124","159.593376","MIN","28","22","3","28"
"246.245124,195.148932,MIN","246.245124","195.148932","MIN","9","6","15","9"
"263.745124,80.58103,MIN","263.745124","80.58103","MIN","10","11","11","10"
"403.745124,187.247697,MIN","403.745124","187.247697","MIN","7","13","12","7"
"368.745124,74.655104,MIN","368.745124","74.655104","MIN","14","16","9","14"
"302.026374,216.877327,MIN","302.026374","216.877327","MIN","16","7","9","16"
"278.729195,155.620573,MIN","278.729195","155.620573","MIN","9","6","15","9"
"323.729195,142.28724,MIN","323.729195","142.28724","MIN","0","10","15","0"
"263.729195,84.509462,MIN","263.729195","84.509462","MIN","10","11","11","10"
"383.729195,164.509462,MIN","383.729195","164.509462","MIN","0","10","15","0"
"233.729195,124.509462,MIN","233.729195","124.509462","MIN","0","10","15","0"
"353.729195,111.176129,MIN","353.729195","111.176129","MIN","9","4","12","9"
"293.729195,191.176129,MIN","293.729195","191.176129","MIN","13","9","10","13"
"413.729195,151.176129,MIN","413.729195","151.176129","MIN","3","8","14","3"
"304.979195,177.842795,MIN","304.979195","177.842795","MIN","9","4","12","9"
"244.979195,137.842795,MIN","244.979195","137.842795","MIN","3","8","14","3"
"214.979195,163.02798,MIN","214.979195","163.02798","MIN","9","4","12","9"
"334.979195,123.02798,MIN","334.979195","123.02798","MIN","3","8","14","3"
"274.979195,109.694647,MIN","274.979195","109.694647","MIN","0","10","15","0"
"199.979195,149.694647,MIN","199.979195","149.694647","MIN","9","4","12","9"
"319.979195,96.361314,MIN","319.979195","96.361314","MIN","14","16","9","14"
"259.979195,176.361314,MIN","259.979195","176.361314","MIN","9","4","12","9"
"379.979195,136.361314,MIN","379.979195","136.361314","MIN","9","4","12","9"
"229.979195,91.916869,MIN","229.979195","91.916869","MIN","9","4","12","9"
"349.979195,171.916869,MIN","349.979195","171.916869","MIN","7","13","12","7"
"289.979195,131.916869,MIN","289.979195","131.916869","MIN","0","10","15","0"
"409.979195,118.583536,MIN","409.979195","118.583536","MIN","10","11","11","10"
"312.479195,158.583536,MIN","312.479195","158.583536","MIN","3","8","14","3"
"252.479195,105.250203,MIN","252.479195","105.250203","MIN","0","10","15","0"
"372.479195,185.250203,MIN","372.479195","185.250203","MIN","7","13","12","7"
"222.479195,145.250203,MIN","222.479195","145.250203","MIN","3","8","14","3"
"342.479195,87.472425,MIN","342.479195","87.472425","MIN","14","16","9","14"
"282.479195,167.472425,MIN","282.479195","167.472425","MIN","3","8","14","3"
"402.479195,127.472425,MIN","402.479195","127.472425","MIN","6","6","13","6"
"207.479195,114.139092,MIN","207.479195","114.139092","MIN","14","16","9","14"
"327.479195,194.139092,MIN","327.479195","194.139092","MIN","6","6","13","6"
"262.888176,437.642939,INT","262.888176","437.642939","INT","15","0","10","0"
"385.523992,265.054404,INT","385.523992","265.054404","INT","15","0","10","0"
"410.024434,279.990414,INT","410.024434","279.990414","INT","15","0","10","0"
"333.546146,236.901133,INT","333.546146","236.901133","INT","15","0","10","0"
