"Id","X1","X2","CLASS","MIN","INT","MAJ","Actual class safety"
"316.791999,203.708602,MIN","316.791999","203.708602","MIN","6","6","13","6"
"386.791999,79.264158,MIN","386.791999","79.264158","MIN","7","13","12","7"
"211.791999,185.930825,MIN","211.791999","185.930825","MIN","6","14","25","6"
"281.791999,73.338232,MIN","281.791999","73.338232","MIN","0","10","15","0"
"264.291999,215.560454,MIN","264.291999","215.560454","MIN","6","6","13","6"
"229.291999,91.11601,MIN","229.291999","91.11601","MIN","0","10","15","0"
"369.291999,197.782676,MIN","369.291999","197.782676","MIN","7","13","12","7"
"169.682624,136.548109,MIN","169.682624","136.548109","MIN","7","13","12","7"
"309.682624,77.288849,MIN","309.682624","77.288849","MIN","0","14","21","0"
"414.682624,95.066627,MIN","414.682624","95.066627","MIN","3","10","17","3"
"257.182624,71.362923,MIN","257.182624","71.362923","MIN","9","8","18","9"
"397.182624,178.02959,MIN","397.182624","178.02959","MIN","0","10","15","0"
"292.182624,213.585146,MIN","292.182624","213.585146","MIN","6","6","13","6"
"432.182624,160.251812,MIN","432.182624","160.251812","MIN","7","13","12","7"
"217.807624,75.313541,MIN","217.807624","75.313541","MIN","7","13","12","7"
"427.807624,110.869096,MIN","427.807624","110.869096","MIN","6","6","13","6"
"384.057624,199.757985,MIN","384.057624","199.757985","MIN","0","10","15","0"
"349.057624,69.387615,MIN","349.057624","69.387615","MIN","7","13","12","7"
"419.057624,122.720948,MIN","419.057624","122.720948","MIN","6","8","16","6"
"191.557624,104.94317,MIN","191.557624","104.94317","MIN","7","13","12","7"
"331.557624,211.609837,MIN","331.557624","211.609837","MIN","3","10","17","3"
"401.557624,87.165392,MIN","401.557624","87.165392","MIN","3","8","14","3"
"226.557624,193.832059,MIN","226.557624","193.832059","MIN","0","12","18","0"
"296.557624,60.827944,MIN","296.557624","60.827944","MIN","0","10","15","0"
"233.120124,203.050166,MIN","233.120124","203.050166","MIN","0","10","15","0"
"180.620124,179.346462,MIN","180.620124","179.346462","MIN","6","6","13","6"
"425.620124,143.790907,MIN","425.620124","143.790907","MIN","6","6","13","6"
"329.370124,64.778561,MIN","329.370124","64.778561","MIN","7","13","12","7"
"364.370124,207.000783,MIN","364.370124","207.000783","MIN","7","13","12","7"
"237.495124,76.630413,MIN","237.495124","76.630413","MIN","6","6","13","6"
"412.495124,165.519302,MIN","412.495124","165.519302","MIN","0","10","15","0"
"184.995124,94.408191,MIN","184.995124","94.408191","MIN","7","13","12","7"
"324.995124,201.074857,MIN","324.995124","201.074857","MIN","6","8","16","6"
"176.245124,159.593376,MIN","176.245124","159.593376","MIN","0","14","21","0"
"246.245124,195.148932,MIN","246.245124","195.148932","MIN","0","10","15","0"
"263.745124,80.58103,MIN","263.745124","80.58103","MIN","0","10","15","0"
"403.745124,187.247697,MIN","403.745124","187.247697","MIN","7","13","12","7"
"368.745124,74.655104,MIN","368.745124","74.655104","MIN","7","13","12","7"
"302.026374,216.877327,MIN","302.026374","216.877327","MIN","6","6","13","6"
"278.729195,155.620573,MIN","278.729195","155.620573","MIN","0","20","30","0"
"323.729195,142.28724,MIN","323.729195","142.28724","MIN","0","10","15","0"
"263.729195,84.509462,MIN","263.729195","84.509462","MIN","0","10","15","0"
"383.729195,164.509462,MIN","383.729195","164.509462","MIN","0","16","24","0"
"233.729195,124.509462,MIN","233.729195","124.509462","MIN","0","10","15","0"
"353.729195,111.176129,MIN","353.729195","111.176129","MIN","0","10","15","0"
"293.729195,191.176129,MIN","293.729195","191.176129","MIN","3","12","20","3"
"413.729195,151.176129,MIN","413.729195","151.176129","MIN","3","8","14","3"
"304.979195,177.842795,MIN","304.979195","177.842795","MIN","3","8","14","3"
"244.979195,137.842795,MIN","244.979195","137.842795","MIN","3","8","14","3"
"214.979195,163.02798,MIN","214.979195","163.02798","MIN","3","8","14","3"
"334.979195,123.02798,MIN","334.979195","123.02798","MIN","0","14","21","0"
"274.979195,109.694647,MIN","274.979195","109.694647","MIN","0","10","15","0"
"199.979195,149.694647,MIN","199.979195","149.694647","MIN","0","10","15","0"
"319.979195,96.361314,MIN","319.979195","96.361314","MIN","0","10","15","0"
"259.979195,176.361314,MIN","259.979195","176.361314","MIN","0","10","15","0"
"379.979195,136.361314,MIN","379.979195","136.361314","MIN","0","10","15","0"
"229.979195,91.916869,MIN","229.979195","91.916869","MIN","0","10","15","0"
"349.979195,171.916869,MIN","349.979195","171.916869","MIN","0","10","15","0"
"289.979195,131.916869,MIN","289.979195","131.916869","MIN","0","10","15","0"
"409.979195,118.583536,MIN","409.979195","118.583536","MIN","3","10","17","3"
"312.479195,158.583536,MIN","312.479195","158.583536","MIN","3","8","14","3"
"252.479195,105.250203,MIN","252.479195","105.250203","MIN","0","10","15","0"
"372.479195,185.250203,MIN","372.479195","185.250203","MIN","0","10","15","0"
